COVID,NC,Normal
245.0,18.0,122.0
6.0,63.0,242.0
72.0,0.0,5.0
29.0,21.0,193.0
200.0,130.0,213.0
9.0,60.0,22.0
50.0,24.0,209.0
190.0,19.0,3.0
26.0,0.0,42.0
19.0,0.0,0.0
5.0,100.0,76.0
44.0,1.0,122.0
119.0,50.0,48.0
0.0,57.0,2.0
33.0,0.0,3.0
103.0,0.0,7.0
133.0,8.0,9.0
75.0,46.0,255.0
20.0,42.0,1.0
19.0,36.0,5.0
173.0,56.0,6.0
1.0,0.0,84.0
0.0,16.0,53.0
11.0,7.0,0.0
34.0,14.0,20.0
35.0,55.0,155.0
55.0,137.0,254.0
170.0,88.0,136.0
169.0,46.0,0.0
194.0,13.0,62.0
30.0,37.0,171.0
29.0,29.0,0.0
24.0,8.0,0.0
181.0,62.0,55.0
1.0,24.0,253.0
12.0,65.0,243.0
146.0,41.0,44.0
0.0,2.0,137.0
7.0,53.0,0.0
90.0,16.0,4.0
128.0,0.0,67.0
25.0,35.0,139.0
109.0,19.0,104.0
0.0,32.0,62.0
10.0,29.0,46.0
0.0,13.0,17.0
0.0,42.0,234.0
0.0,35.0,180.0
0.0,5.0,216.0
23.0,18.0,0.0
122.0,0.0,71.0
6.0,86.0,5.0
138.0,61.0,241.0
221.0,2.0,96.0
0.0,26.0,18.0
139.0,46.0,37.0
10.0,25.0,8.0
188.0,84.0,220.0
8.0,171.0,60.0
138.0,206.0,0.0
55.0,21.0,219.0
0.0,36.0,241.0
1.0,32.0,8.0
8.0,0.0,135.0
11.0,58.0,28.0
12.0,0.0,32.0
255.0,0.0,10.0
12.0,9.0,157.0
25.0,60.0,255.0
8.0,0.0,218.0
97.0,1.0,194.0
69.0,0.0,92.0
11.0,14.0,18.0
0.0,18.0,171.0
12.0,28.0,48.0
88.0,15.0,249.0
0.0,15.0,0.0
142.0,26.0,4.0
0.0,211.0,207.0
105.0,0.0,226.0
0.0,29.0,24.0
9.0,2.0,228.0
139.0,0.0,236.0
187.0,0.0,6.0
8.0,25.0,47.0
6.0,78.0,1.0
32.0,28.0,2.0
145.0,47.0,81.0
49.0,18.0,160.0
1.0,173.0,165.0
7.0,11.0,187.0
20.0,22.0,0.0
0.0,104.0,61.0
30.0,213.0,154.0
12.0,45.0,144.0
12.0,10.0,251.0
31.0,22.0,151.0
126.0,24.0,58.0
12.0,2.0,10.0
212.0,156.0,0.0
0.0,0.0,136.0
30.0,0.0,3.0
59.0,4.0,84.0
41.0,15.0,1.0
25.0,58.0,0.0
0.0,60.0,123.0
13.0,47.0,4.0
225.0,83.0,23.0
0.0,3.0,1.0
7.0,83.0,11.0
118.0,0.0,151.0
192.0,62.0,26.0
180.0,0.0,0.0
142.0,255.0,236.0
92.0,13.0,0.0
22.0,40.0,0.0
75.0,192.0,115.0
195.0,0.0,13.0
0.0,6.0,10.0
1.0,0.0,38.0
11.0,0.0,83.0
0.0,213.0,140.0
0.0,7.0,81.0
10.0,0.0,63.0
33.0,87.0,88.0
31.0,16.0,255.0
49.0,17.0,9.0
225.0,91.0,228.0
9.0,54.0,168.0
34.0,0.0,104.0
9.0,50.0,234.0
1.0,0.0,0.0
227.0,0.0,63.0
0.0,88.0,0.0
24.0,4.0,242.0
0.0,13.0,2.0
8.0,0.0,17.0
2.0,0.0,163.0
231.0,29.0,14.0
81.0,4.0,27.0
11.0,25.0,10.0
9.0,13.0,5.0
0.0,6.0,1.0
31.0,98.0,0.0
14.0,23.0,233.0
0.0,56.0,4.0
226.0,10.0,22.0
20.0,26.0,221.0
58.0,52.0,15.0
229.0,0.0,2.0
79.0,45.0,0.0
158.0,1.0,0.0
85.0,0.0,255.0
176.0,34.0,5.0
0.0,43.0,0.0
0.0,207.0,4.0
119.0,177.0,155.0
9.0,9.0,2.0
108.0,109.0,186.0
10.0,9.0,3.0
36.0,43.0,56.0
30.0,99.0,19.0
42.0,16.0,0.0
65.0,0.0,192.0
11.0,22.0,2.0
160.0,0.0,227.0
21.0,46.0,1.0
35.0,28.0,187.0
33.0,193.0,36.0
32.0,66.0,132.0
5.0,58.0,17.0
178.0,18.0,16.0
0.0,200.0,42.0
7.0,0.0,0.0
32.0,12.0,212.0
220.0,0.0,5.0
113.0,39.0,6.0
1.0,137.0,5.0
1.0,39.0,0.0
105.0,2.0,212.0
0.0,0.0,55.0
0.0,28.0,97.0
62.0,15.0,42.0
31.0,43.0,0.0
12.0,48.0,175.0
49.0,2.0,159.0
25.0,2.0,16.0
25.0,33.0,19.0
35.0,22.0,0.0
9.0,0.0,0.0
0.0,1.0,8.0
27.0,3.0,7.0
83.0,3.0,215.0
12.0,0.0,220.0
18.0,36.0,178.0
2.0,70.0,0.0
2.0,21.0,201.0
195.0,0.0,181.0
30.0,50.0,94.0
11.0,182.0,2.0
107.0,44.0,224.0
0.0,6.0,6.0
40.0,32.0,139.0
80.0,0.0,7.0
44.0,0.0,0.0
176.0,19.0,60.0
0.0,5.0,247.0
128.0,42.0,0.0
62.0,35.0,113.0
12.0,92.0,0.0
51.0,0.0,4.0
51.0,67.0,0.0
0.0,4.0,158.0
21.0,15.0,137.0
5.0,70.0,0.0
11.0,79.0,0.0
0.0,0.0,66.0
8.0,117.0,254.0
141.0,0.0,15.0
68.0,24.0,177.0
24.0,5.0,45.0
6.0,54.0,33.0
22.0,1.0,0.0
29.0,102.0,16.0
44.0,26.0,52.0
0.0,28.0,0.0
22.0,39.0,180.0
30.0,31.0,29.0
9.0,107.0,0.0
92.0,115.0,46.0
0.0,42.0,21.0
35.0,32.0,192.0
228.0,131.0,25.0
82.0,32.0,0.0
38.0,3.0,0.0
14.0,0.0,42.0
12.0,0.0,101.0
59.0,206.0,254.0
31.0,6.0,6.0
24.0,33.0,132.0
14.0,0.0,116.0
176.0,26.0,31.0
119.0,24.0,253.0
234.0,197.0,46.0
0.0,0.0,39.0
0.0,56.0,0.0
9.0,4.0,0.0
0.0,31.0,2.0
47.0,35.0,229.0
0.0,100.0,31.0
0.0,110.0,255.0
200.0,64.0,38.0
232.0,0.0,14.0
48.0,73.0,133.0
1.0,72.0,114.0
